player_id,player_name,nationality,position,preferred_foot,date_of_birth,birth_year,height_cm,height_category,market_value_eur,market_value_million
102258,Matthew Lowton,England,Right-Back,right,1989-06-09,1989.0,180.0,Average,1200000.0,1.2
775810,Matthew Nurse,England,Goalkeeper,,1981-10-06,1981.0,185.0,Tall,,
38370,Matthew Pattison,South Africa; England,Central Midfield,left,1986-10-27,1986.0,173.0,Average,450000.0,0.45
220755,Matthew Pennington,England,Centre-Back,right,1994-10-06,1994.0,185.0,Tall,600000.0,0.6
39035,Matthew Reed,England,Goalkeeper,,1986-12-24,1986.0,183.0,Tall,50000.0,0.05
57496,Matthew Richards,England,Defensive Midfield,,1989-12-01,1989.0,176.0,Average,100000.0,0.1
13677,Matthew Robinson,England,Left-Back,left,1974-12-23,1974.0,183.0,Tall,,
13733,Matthew Rose,England,Right-Back,right,1975-09-24,1975.0,180.0,Average,,
228086,Matthew Rush,Ireland; England,Left Winger,,1971-08-06,1971.0,,Unknown,,
61723,Matthew Saunders,England,Central Midfield,right,1989-09-12,1989.0,180.0,Average,100000.0,0.1
1069434,Matthew Smithard,England,Central Midfield,,1976-06-13,1976.0,,Unknown,,
18873,Matthew Spring,England,Central Midfield,right,1979-11-17,1979.0,183.0,Tall,300000.0,0.3
9218,Matthew Taylor,England,Left Midfield,left,1981-11-27,1981.0,177.0,Average,1000000.0,1.0
3870,Matthew Turner,England,Striker,,1981-12-29,1981.0,,Unknown,,
3273,Matthew Upson,England,Centre-Back,left,1979-04-18,1979.0,185.0,Tall,500000.0,0.5
908798,Matthew Whittingham,England,Central Midfield,left,2004-10-21,2004.0,,Unknown,150000.0,0.15
234,Matthias Breitkreutz,Germany,Attacking Midfield,,1971-05-12,1971.0,,Unknown,,
134416,Matthias Fanimo,England; Nigeria,Right Winger,left,1994-01-28,1994.0,175.0,Average,,
326031,Matthijs de Ligt,Netherlands,Centre-Back,right,1999-08-12,1999.0,189.0,Tall,55000000.0,55.0
15044,Mattias Jonson,Sweden,Centre-Forward,right,1974-01-16,1974.0,179.0,Average,1000000.0,1.0
624948,Mattie Pollock,England,Centre-Back,right,2001-09-28,2001.0,190.0,Tall,300000.0,0.3
195172,Matty Appleby,England,Defensive Midfield,right,1972-04-16,1972.0,178.0,Average,,
425334,Matty Cash,Poland; England,Right-Back,right,1997-08-07,1997.0,185.0,Tall,28000000.0,28.0
566349,Matty Daly,England,Attacking Midfield,right,2001-03-10,2001.0,175.0,Average,,
14013,Matty Fryatt,England,Centre-Forward,right,1986-03-05,1986.0,178.0,Average,1500000.0,1.5
173497,Matty Holmes,England,Left Midfield,left,1969-08-01,1969.0,170.0,Average,,
73522,Matty James,England,Central Midfield,right,1991-07-22,1991.0,181.0,Tall,1000000.0,1.0
132207,Matty Kennedy,Northern Ireland; Scotland,Left Winger,right,1994-11-01,1994.0,175.0,Average,,
484387,Matty Longstaff,England,Central Midfield,right,2000-03-21,2000.0,171.0,Average,1000000.0,1.0
118564,Matty Lund,Northern Ireland; England,Central Midfield,right,1990-11-21,1990.0,170.0,Average,50000.0,0.05
44378,Matty Plummer,England,Centre-Back,right,1989-01-18,1989.0,191.0,Very Tall,50000.0,0.05
289845,Matty Willock,Montserrat; England,Central Midfield,right,1996-08-20,1996.0,172.0,Average,,
465830,Mattéo Guendouzi,France; Morocco,Central Midfield,right,1999-04-14,1999.0,185.0,Tall,40500000.0,40.5
127202,Matz Sels,Belgium,Goalkeeper,right,1992-02-26,1992.0,188.0,Tall,7000000.0,7.0
439072,Matías Viña,Uruguay; Italy,Left-Back,left,1997-11-09,1997.0,175.0,Average,8000000.0,8.0
3812,Matías Vuoso,Mexico; Argentina,Centre-Forward,right,1981-11-03,1981.0,175.0,Average,,
229823,Maurice Doyle,England,Central Midfield,,1969-10-17,1969.0,,Unknown,,
50987,Maurice Edu,United States; Nigeria,Defensive Midfield,right,1986-04-18,1986.0,183.0,Tall,2300000.0,2.3
43722,Mauricio Isla,Chile,Right-Back,right,1988-06-12,1988.0,176.0,Average,9000000.0,9.0
7573,Mauricio Pellegrino,Argentina; Italy,Centre-Back,left,1971-10-05,1971.0,193.0,Very Tall,2000000.0,2.0
16446,Mauricio Solís,Costa Rica,Left Midfield,left,1972-12-13,1972.0,178.0,Average,,
4050,Mauricio Taricco,Argentina; Italy,Left-Back,right,1973-03-10,1973.0,175.0,Average,,
9320,Maurizio Gaudino,Germany; Italy,Attacking Midfield,,1966-12-12,1966.0,,Unknown,,
745846,Mauro Bandeira,Portugal; England,Central Midfield,right,2003-11-18,2003.0,178.0,Average,200000.0,0.2
40822,Mauro Boselli,Argentina; Mexico,Centre-Forward,right,1985-05-22,1985.0,181.0,Tall,2800000.0,2.8
55870,Mauro Formica,Argentina; Italy,Attacking Midfield,right,1988-04-04,1988.0,179.0,Average,3000000.0,3.0
26456,Mauro Zárate,Argentina; Chile,Centre-Forward,right,1987-03-18,1987.0,175.0,Average,2000000.0,2.0
471690,Max Aarons,England; Jamaica,Right-Back,right,2000-01-04,2000.0,177.0,Average,16000000.0,16.0
843595,Max Alleyne,England; Barbados,Centre-Back,both,2005-07-21,2005.0,,Unknown,500000.0,0.5
158718,Max Ehmer,Germany,Centre-Back,right,1992-02-03,1992.0,188.0,Tall,100000.0,0.1
28140,Max Gradel,Cote d'Ivoire; France,Left Winger,right,1987-11-30,1987.0,175.0,Average,7000000.0,7.0
596216,Max Haygarth,England,Left Winger,left,2002-01-21,2002.0,175.0,Average,100000.0,0.1
939615,Max Kinsey,England,Centre-Back,right,2005-02-02,2005.0,184.0,Tall,150000.0,0.15
258885,Max Lowe,England,Left-Back,left,1997-05-11,1997.0,175.0,Average,2500000.0,2.5
460255,Max Melbourne,England; Wales,Left-Back,left,1998-10-24,1998.0,178.0,Average,100000.0,0.1
827435,Max Merrick,England,Goalkeeper,,2005-11-10,2005.0,,Unknown,100000.0,0.1
146164,Max Meyer,Germany,Attacking Midfield,right,1995-09-18,1995.0,173.0,Average,1500000.0,1.5
411495,Max Sanders,England,Central Midfield,right,1999-01-04,1999.0,175.0,Average,250000.0,0.25
460683,Max Taylor,England,Centre-Back,right,2000-01-10,2000.0,188.0,Tall,,
598958,Max Thompson,England,Right Winger,right,2002-02-09,2002.0,182.0,Tall,,
696326,Max Woltman,England,Centre-Forward,,2003-08-20,2003.0,,Unknown,300000.0,0.3
434224,Maxence Lacroix,France; Guadeloupe,Centre-Back,right,2000-04-06,2000.0,190.0,Tall,20000000.0,20.0
7895,Maxi Rodríguez,Argentina; Spain,Left Winger,right,1981-01-02,1981.0,173.0,Average,3500000.0,3.5
842341,Maxime Estève,France,Centre-Back,left,2002-05-26,2002.0,193.0,Very Tall,7000000.0,7.0
60558,Maxime Le Marchand,France,Centre-Back,left,1989-10-11,1989.0,185.0,Tall,1500000.0,1.5
525247,Maximilian Kilman,England; Ukraine,Centre-Back,left,1997-05-23,1997.0,194.0,Very Tall,38000000.0,38.0
263361,Maximilian Wöber,Austria,Centre-Back,left,1998-02-04,1998.0,188.0,Tall,14000000.0,14.0
234781,Maxwel Cornet,Cote d'Ivoire; France,Left Winger,left,1996-09-27,1996.0,179.0,Average,9000000.0,9.0
81789,Maya Yoshida,Japan,Centre-Back,right,1988-08-24,1988.0,189.0,Tall,4000000.0,4.0
62240,Maynor Figueroa,Honduras,Left-Back,left,1983-05-02,1983.0,182.0,Tall,2000000.0,2.0
581445,Mazeed Ogungbo,Ireland; Nigeria,Centre-Back,left,2002-10-20,2002.0,188.0,Tall,,
271966,Mbaye Diagne,Senegal,Centre-Forward,right,1991-10-28,1991.0,191.0,Very Tall,3000000.0,3.0
8978,Mbulelo Mabizela,South Africa,Centre-Back,right,1980-09-16,1980.0,178.0,Average,700000.0,0.7
111036,Mehdi Abeid,Algeria; France,Central Midfield,right,1992-08-06,1992.0,178.0,Average,1000000.0,1.0
7862,Mehdi Nafti,Tunisia; France,Defensive Midfield,left,1978-11-28,1978.0,179.0,Average,2500000.0,2.5
